player_name,game_id,kills,deaths,assists,adr,fk,fd,clutches,aces
mazin,1,20.0,15.0,10.0,161.0,3.0,1.0,1,0
artzin,1,18.0,15.0,9.0,139.0,7.0,0.0,0,0
ShahZaM,1,12.0,14.0,9.0,122.0,2.0,1.0,0,0
liazzi,1,13.0,14.0,5.0,126.0,0.0,2.0,0,0
Pa1nt,1,11.0,17.0,6.0,98.0,2.0,4.0,0,0
tex,1,20.0,15.0,2.0,179.0,3.0,3.0,1,0
Mazino,1,22.0,15.0,9.0,175.0,1.0,3.0,0,0
kiNgg,1,12.0,14.0,8.0,111.0,2.0,3.0,0,0
C0M,1,10.0,14.0,7.0,106.0,0.0,1.0,0,0
aspas,1,11.0,16.0,4.0,113.0,2.0,4.0,0,0
mazin,2,15.0,14.0,5.0,150.0,3.0,1.0,1,0
artzin,2,16.0,15.0,4.0,150.0,0.0,3.0,0,0
ShahZaM,2,11.0,15.0,5.0,127.0,1.0,3.0,1,0
Pa1nt,2,8.0,18.0,6.0,105.0,2.0,5.0,0,0
liazzi,2,8.0,16.0,1.0,80.0,1.0,1.0,0,0
kiNgg,2,22.0,10.0,8.0,210.0,4.0,0.0,0,0
aspas,2,21.0,8.0,4.0,179.0,5.0,1.0,1,0
C0M,2,17.0,13.0,5.0,156.0,2.0,0.0,1,0
Mazino,2,9.0,14.0,12.0,124.0,1.0,3.0,0,0
tex,2,9.0,13.0,3.0,104.0,1.0,3.0,0,0
zekken,3,22.0,14.0,7.0,222.0,7.0,4.0,0,0
Sacy,3,19.0,10.0,9.0,161.0,0.0,2.0,0,0
Zellsis,3,16.0,10.0,6.0,131.0,1.0,0.0,0,1
TenZ,3,13.0,13.0,14.0,127.0,1.0,1.0,0,0
johnqt,3,10.0,11.0,5.0,96.0,2.0,2.0,0,0
s0m,3,14.0,17.0,6.0,142.0,4.0,4.0,1,0
Ethan,3,14.0,15.0,10.0,121.0,3.0,0.0,0,0
Victor,3,11.0,17.0,5.0,116.0,2.0,6.0,0,0
