game_id,player_name,agent,team_abrev,map,kills,deaths,assists,adr,fk,fd,clutches,aces
0,mazin,Omen,MIBR,Ascent,20.0,15.0,10.0,161.0,3.0,1.0,1,0
0,artzin,Yoru,MIBR,Ascent,18.0,15.0,9.0,139.0,7.0,0.0,0,0
0,ShahZaM,Sova,MIBR,Ascent,12.0,14.0,9.0,122.0,2.0,1.0,0,0
0,liazzi,Killjoy,MIBR,Ascent,13.0,14.0,5.0,126.0,0.0,2.0,0,0
0,Pa1nt,Iso,MIBR,Ascent,11.0,17.0,6.0,98.0,2.0,4.0,0,0
0,tex,Killjoy,LEV,Ascent,20.0,15.0,2.0,179.0,3.0,3.0,1,0
0,Mazino,Kayo,LEV,Ascent,22.0,15.0,9.0,175.0,1.0,3.0,0,0
0,kiNgg,Omen,LEV,Ascent,12.0,14.0,8.0,111.0,2.0,3.0,0,0
0,C0M,Sova,LEV,Ascent,10.0,14.0,7.0,106.0,0.0,1.0,0,0
0,aspas,Jett,LEV,Ascent,11.0,16.0,4.0,113.0,2.0,4.0,0,0
1,tex,Killjoy,LEV,Icebox,9.0,13.0,3.0,104.0,1.0,3.0,0,0
1,Mazino,Kayo,LEV,Icebox,9.0,14.0,12.0,124.0,1.0,3.0,0,0
1,kiNgg,Omen,LEV,Icebox,22.0,10.0,8.0,210.0,4.0,0.0,0,0
1,C0M,Sova,LEV,Icebox,17.0,13.0,5.0,156.0,2.0,0.0,1,0
1,aspas,Jett,LEV,Icebox,21.0,8.0,4.0,179.0,5.0,1.0,1,0
1,mazin,Omen,MIBR,Icebox,15.0,14.0,5.0,150.0,3.0,1.0,1,0
1,artzin,Yoru,MIBR,Icebox,16.0,15.0,4.0,150.0,0.0,3.0,0,0
1,ShahZaM,Sova,MIBR,Icebox,11.0,15.0,5.0,127.0,1.0,3.0,1,0
1,liazzi,Killjoy,MIBR,Icebox,8.0,16.0,1.0,80.0,1.0,1.0,0,0
1,Pa1nt,Iso,MIBR,Icebox,8.0,18.0,6.0,105.0,2.0,5.0,0,0
2,zekken,Raze,SEN,Lotus,22.0,14.0,7.0,222.0,7.0,4.0,0,0
2,Sacy,Fade,SEN,Lotus,19.0,10.0,9.0,161.0,0.0,2.0,0,0
2,Zellsis,Cypher,SEN,Lotus,16.0,10.0,6.0,131.0,1.0,0.0,0,1
2,TenZ,Omen,SEN,Lotus,13.0,13.0,14.0,127.0,1.0,1.0,0,0
2,johnqt,Deadlock,SEN,Lotus,10.0,11.0,5.0,96.0,2.0,2.0,0,0
2,s0m,Clove,NRG,Lotus,14.0,17.0,6.0,142.0,4.0,4.0,1,0
2,Ethan,Breach,NRG,Lotus,14.0,15.0,10.0,121.0,3.0,0.0,0,0
2,Victor,Neon,NRG,Lotus,11.0,17.0,5.0,116.0,2.0,6.0,0,0
2,FiNESSE,Cypher,NRG,Lotus,9.0,16.0,4.0,79.0,1.0,0.0,0,0
2,crashies,Gekko,NRG,Lotus,10.0,16.0,4.0,92.0,0.0,2.0,0,0
3,s0m,Clove,NRG,Sunset,16.0,18.0,15.0,123.0,0.0,2.0,2,0
3,Ethan,Breach,NRG,Sunset,18.0,19.0,13.0,117.0,2.0,3.0,0,0
3,Victor,Neon,NRG,Sunset,23.0,24.0,5.0,177.0,7.0,7.0,0,0
3,FiNESSE,Cypher,NRG,Sunset,12.0,22.0,4.0,100.0,2.0,1.0,1,0
3,crashies,Gekko,NRG,Sunset,13.0,19.0,10.0,92.0,1.0,1.0,1,0
3,zekken,Raze,SEN,Sunset,24.0,19.0,14.0,206.0,5.0,4.0,0,0
