series_id,game_id,map_name,home_team,away_team,map_duration,home_score,away_score
1,1,Ascent,MIBR,LEV,1:05:24,9,13
1,2,Icebox,MIBR,LEV,45:04,7,13
2,3,Lotus,SEN,NRG,59:21,13,8
2,4,Sunset,SEN,NRG,1:00:54,14,12
3,5,Icebox,FUR,100T,1:12:51,14,12
3,6,Haven,FUR,100T,1:00:50,16,14
4,7,Lotus,LOUD,EG,52:39,13,7
4,8,Sunset,LOUD,EG,40:31,6,13
4,9,Icebox,LOUD,EG,55:13,11,13
5,10,Ascent,G2,C9,1:05:05,13,11
5,11,Icebox,G2,C9,40:43,5,13
5,12,Lotus,G2,C9,48:18,13,8
6,13,Bind,EG,FUR,58:58,13,5
6,14,Lotus,EG,FUR,35:13,13,4
7,15,Lotus,SEN,KRÜ,1:06:41,13,11
7,16,Split,SEN,KRÜ,55:13,13,10
8,17,Ascent,LOUD,MIBR,59:21,13,7
8,18,Lotus,LOUD,MIBR,52:28,11,13
8,19,Sunset,LOUD,MIBR,52:18,13,9
9,20,Bind,LEV,100T,59:38,13,10
9,21,Haven,LEV,100T,36:19,13,4
10,22,Haven,NRG,G2,1:02:34,7,13
10,23,Bind,NRG,G2,50:39,8,13
11,24,Haven,SEN,C9,48:41,13,5
11,25,Split,SEN,C9,49:09,13,8
12,26,Icebox,EG,LEV,53:43,5,13
12,27,Sunset,EG,LEV,52:28,10,13
13,28,Haven,LOUD,FUR,1:00:10,13,11
13,29,Icebox,LOUD,FUR,53:14,10,13
13,30,Bind,LOUD,FUR,48:17,9,13
14,31,Icebox,MIBR,100T,48:49,5,13
14,32,Split,MIBR,100T,42:19,6,13
15,33,Split,NRG,KRÜ,1:02:24,8,13
15,34,Ascent,NRG,KRÜ,44:41,13,8
15,35,Sunset,NRG,KRÜ,46:52,13,7
16,36,Lotus,G2,KRÜ,54:52,4,13
16,37,Ascent,G2,KRÜ,1:11:55,16,14
16,38,Split,G2,KRÜ,45:04,13,5
17,39,Lotus,LOUD,LEV,59:52,11,13
17,40,Icebox,LOUD,LEV,44:17,6,13
18,41,Sunset,MIBR,FUR,1:02:30,10,13
18,42,Icebox,MIBR,FUR,43:02,7,13
19,43,Ascent,NRG,C9,43:47,13,3
19,44,Icebox,NRG,C9,49:20,10,13
19,45,Sunset,NRG,C9,59:18,12,14
20,46,Lotus,EG,100T,1:06:50,10,13
20,47,Bind,EG,100T,55:39,13,10
20,48,Ascent,EG,100T,46:01,7,13
