series_id,map_name,home_team_id,away_team_id,map_duration,home_score,away_score
1,Ascent,7,10,1:05:24,9,13
1,Icebox,7,10,45:04:00,7,13
2,Lotus,2,3,59:21:00,13,8
2,Sunset,2,3,1:00:54,14,12
3,Icebox,9,1,1:12:51,14,12
3,Haven,9,1,1:00:50,16,14
4,Lotus,8,4,52:39:00,13,7
4,Sunset,8,4,40:31:00,6,13
4,Icebox,8,4,55:13:00,11,13
5,Ascent,11,6,1:05:05,13,11
5,Icebox,11,6,40:43:00,5,13
5,Lotus,11,6,48:18:00,13,8
6,Bind,4,9,58:58:00,13,5
6,Lotus,4,9,35:13:00,13,4
7,Lotus,2,5,1:06:41,13,11
7,Split,2,5,55:13:00,13,10
8,Ascent,8,7,59:21:00,13,7
8,Lotus,8,7,52:28:00,11,13
8,Sunset,8,7,52:18:00,13,9
9,Bind,10,1,59:38:00,13,10
9,Haven,10,1,36:19:00,13,4
10,Haven,3,11,1:02:34,7,13
10,Bind,3,11,50:39:00,8,13
11,Haven,2,6,48:41:00,13,5
11,Split,2,6,49:09:00,13,8
12,Icebox,4,10,53:43:00,5,13
12,Sunset,4,10,52:28:00,10,13
13,Haven,8,9,1:00:10,13,11
13,Icebox,8,9,53:14:00,10,13
13,Bind,8,9,48:17:00,9,13
14,Icebox,7,1,48:49:00,5,13
14,Split,7,1,42:19:00,6,13
15,Split,3,5,1:02:24,8,13
15,Ascent,3,5,44:41:00,13,8
15,Sunset,3,5,46:52:00,13,7
16,Lotus,11,5,54:52:00,4,13
16,Ascent,11,5,1:11:55,16,14
16,Split,11,5,45:04:00,13,5
17,Lotus,8,10,59:52:00,11,13
17,Icebox,8,10,44:17:00,6,13
18,Sunset,7,9,1:02:30,10,13
18,Icebox,7,9,43:02:00,7,13
19,Ascent,3,6,43:47:00,13,3
19,Icebox,3,6,49:20:00,10,13
19,Sunset,3,6,59:18:00,12,14
20,Lotus,4,1,1:06:50,10,13
20,Bind,4,1,55:39:00,13,10
20,Ascent,4,1,46:01:00,7,13
